author,key
Ada Wai-Chee Fu,journals/sigmod/CheungF98|journals/sigmod/KuokFW98|journals/tkde/CheungNFF96|conf/icde/ChanF99|conf/pods/FuK89|conf/vldb/FuC94|conf/ismis/CheungFH94|conf/kdd/ChengFZ99|conf/kdd/HwangF95|conf/pdis/CheungHNFF96
Adam Bosworth,conf/icde/GrayBLP96|conf/sigmod/Carey00|journals/datamine/GrayCBLRVPP97
Adam Dutkowski,conf/edbt/BelcastroDKKMMMSST88
Adam Farquhar,conf/aaai/ChaudhriFFKR98|conf/krdb/StarrCFW98
Adam Finkelstein,journals/tkde/AmadorBBDFNNSSSSWW93
Adam J. Grove,conf/cp/BacchusG95|conf/stoc/GroveHK92
Adam L. Buchsbaum,journals/amai/BuchsbaumKV91|conf/soda/BuchsbaumKV90
Adam Rifkin,journals/internet/KhareR97
Adam Sah,journals/vldb/StonebrakerALPSSSY96|conf/icde/SidellASSSY96|conf/pdis/StonebrakerDKLPSS94
Adam Seiver,conf/ijcai/Hayes-RothWHHS89
Adam Stoller,conf/usenix/BorensteinERS88
Adarsh K. Arora,conf/er/CarlsonJA89|conf/er/CarlsonA83|conf/er/PahwaA85|conf/er/DavisA85|conf/er/DavisA87|conf/vldb/AroraC78|journals/tse/CarlsonA85|journals/cj/AroraC84|journals/cj/CarlsonAC82
Adegbemiga Ola,conf/icde/Ole92|conf/ssdbm/OzsoyogluHO90|conf/vldb/OlaO89
Adegbeniga Ola,journals/tkde/OlaO93
Adel Shrufi,journals/vldb/MylopoulosCPST96|conf/cikm/ShrufiT95|conf/edbt/BonnerSR96|conf/cikm/Shrufi94
Adele E. Howe,journals/tkde/Howe95|journals/tois/DreilingerH97|journals/aim/CohenGHH89|journals/aim/HoweD97|conf/aaai/Howe92|conf/aaai/HoweC91
Adelheit Stein,journals/ipm/SitterS92
Adi Raveh,journals/jiis/ShapiraHRS97
Adi Shamir,journals/cacm/RivestSA78|journals/cacm/Shamir79|journals/iandc/RivestS82|journals/siamcomp/EvenIS76|conf/crypto/Shamir84
Adil Daruwala,conf/ds/DaruwalaGHHMS95
Adil Faisal,conf/widm/FaisalSMB99
Aditya N. Saharia,journals/tkde/DiehrS94|journals/tkde/DeyBS98|journals/tods/MendelsonS86
Adnan H. Yahya,journals/jar/YahyaH85
Adolfo Socorro,conf/edbt/StempleFSS90|conf/oodbs/StempleSS88
Adolph D'Cunha,conf/er/DCunhaR83
Adriaan van Wijngaarden,journals/acta/WijngaardenMPKSLMF75
Adrian O'Riordan,conf/cikm/ORiordanS95
Adrian Segall,conf/icde/SegallW88|conf/pods/SegallW87|journals/siamcomp/WolfsonS91
Adrian Skehill,conf/efdbs/SkehillR99
Adrian Spalka,conf/dbsec/Spalka94
Adrian Walker,conf/vldb/Walker80|journals/jar/Walker93|journals/iandc/MudeW78|conf/ddb/DanielsSHLMWW82|conf/eds/ChangW84|conf/eds/ParkerCGJSW84|conf/fgcs/BroughW84|conf/jcdkb/WilliamsDHLLNOSWWY82
Adriana Muñoz,journals/vldb/OzsuPSILM95|conf/cikm/OzsuMS95
Adriana de Oliveira,conf/pdis/AlmeidaBCO96
Adrienne J. Kleiboemer,journals/iandc/SchwartzK67a
Agma J. M. Traina,conf/sigmod/FaloutsosSTT00|conf/edbt/TrainaTSF00|conf/icde/TrainaTF00
Agnar Aamodt,journals/aicom/AamodtP94
Agnar Renolen,conf/er/Renolen98
Agnès Voisard,conf/dbpl/AbiteboulGVW89|conf/ssd/Voisard91|conf/ssd/SchollV89|conf/cosit/RigauxSV93
Agostino Dovier,journals/jlp/DovierOPR96|conf/slp/DovierR93
Agostino Poggi,conf/ecaiw/Poggi94
Agustin A. Araya,conf/aaai/MittalA86
Ah-Hwee Tan,journals/tkde/LowLTT91
Aharon Shtull-Trauring,journals/tse/HarelLNPPSST90|conf/icse/HarelLNPPSS88
Ahmad Baraani-Dastjerdi,conf/er/Baraani-DastjerdiPSG95|conf/adc/Baraani-DastjerdiGPS95
Ahmad R. Hadaegh,conf/adbis/HadaeghB96
Ahmed E. Kamal 0001,journals/csur/AbeysundaraK91
Ahmed Emam,journals/tods/SuE78|journals/tc/SuNEL79
Ahmed Guessoum,journals/ngc/GuessoumL91|journals/ngc/GuessoumL90
Ahmed K. Elmagarmid,journals/debu/BukhresEK93|journals/tkde/JiangE98|journals/tkde/ElmagarmidJKBZ96|journals/csur/PitouraBE95|journals/csur/ElmagarmidP90|journals/vldb/DuEKB93|journals/vldb/ZhangE93|journals/vldb/JiangE98|conf/cikm/ElmagarmidJB95|conf/icde/ElmagarmidH88|conf/icde/ElmagarmidSL86|conf/icde/ElmagarmidD90|conf/icde/DuEK91|conf/sigmod/BukhresCELM93|conf/dbpl/MullenE93|conf/edbt/KuhnPE92|conf/vldb/DuE89|conf/vldb/ElmagarmidLLR90|journals/csys/ChenBE93|journals/debu/ElmagarmidL87|journals/ipl/ElmagarmidD91|journals/mms/JiangHEJ98|journals/sigmod/Elmagarmid86|journals/sigmod/RusinkiewiczELL90|journals/sigmod/ScheuermannEGMMRT90|journals/computer/BukhresCDEP93|journals/tse/ElmagarmidSL88|journals/csur/JingHE99|journals/monet/JingEHA97|journals/is/LeuEB92|conf/dpds/LeuE90|conf/pdis/ZhangE93|conf/icmcs/JiangME97|conf/icdcs/JingBE95|conf/icdcs/ChenBE93|conf/ride/BukhresCCELZ92
Ahmed K. Ezzat,conf/icdcs/EzzatBP86
Ahmed Karmouch,journals/tkde/SudhakarKG93|journals/mms/LiKG94a|journals/mms/LiKG94
Ahmed Mostefaoui,conf/adbis/MostefaouiK98|conf/adbis/Mostefaoui97
Ahobala Rao,conf/tdb/CliffordR87
Ai Li,conf/icdt/KiferL88
Aidong Zhang,journals/tkde/ChangSWZ98|journals/tkde/ElmagarmidJKBZ96|journals/vldb/ZhangE93|journals/vldb/SheikholeslamiCZ00|conf/icde/ChangMZS98|conf/sigmod/ZhangNBB94|conf/vldb/SheikholeslamiCZ98|journals/mta/RemiasSZS97|conf/mm/ChangSZS97|conf/gis/SheikholeslamiZB97|conf/pdis/ZhangE93|conf/icmcs/ZhangCMS97|conf/podc/PitouraZB95|conf/ride/ZhangJ93
Aileen S. Stone,journals/is/JohnstonS82
Aimo A. Törn,journals/bit/Torn84
Aiqun Du,conf/sigmod/CallanCD99
Aitao Chen,conf/trec/CooperCG94|conf/trec/CooperGC92
Ajay D. Kshemkalyani,journals/tse/KshemkalyaniS91|journals/tse/KshemkalyaniS94|conf/icdcs/KshemkalyaniS97
Ajay Kajla,journals/cacm/LarsonK84
Ajay Mohindra,conf/ride/ButricoCGMPSCCFSSWZ00
Ajay Paul Sravanapudi,journals/cacm/VesseyS95
Ajay V. Bakre,journals/tc/BakreB97
Ajit A. Diwan,conf/vldb/DiwanRSS96
Ajit K. Mandal,journals/tkde/KonarM96
Ajit K. Patankar,conf/icde/PatankarSS96
Ajith P. Madurapperuma,conf/icde/BehrendtFM97
Akhil Kumar 0001,journals/tkde/Kumar94|journals/tods/KumarS93|conf/icde/Kumar90|conf/sigmod/KumarS88|conf/edbt/KumarS88|conf/vldb/KumarS87|journals/ipl/KumarC91|journals/sigmod/KumarS87|journals/tc/Kumar91|journals/tse/KumarS89|conf/dexa/Kumar94|conf/icdcs/Kumar90
Akifumi Makinouchi,journals/tods/IshikawaSKMMIAY93|conf/icde/YuKBM96|conf/icde/IshikawaIYHM86|conf/er/WangHKKM98|conf/er/HorinokuchiWKM98|conf/dasfaa/YuWZM95|conf/dasfaa/KanekoKM93|conf/dasfaa/YamaneNKM89|conf/dasfaa/WangHKM99|conf/vldb/AoshimaIMSY90|conf/vldb/Makinouchi77|conf/vldb/MakinouchiTKA81|journals/expert/IchikawaIYHM87|conf/dexaw/WangMK97|conf/dexaw/KurokiIM97|conf/future/KanekoKM92
Akifumi Sakomoto,conf/iwdm/HikitaKSM87
Akiharu Sakata,conf/icde/ToriiKYSTKTI87|conf/icde/ToriiKKSYT88
Akihiro Kashihara,journals/ijmms/YanoKM92
Akihito Akutsu,journals/ieeemm/TonomuraATS94|conf/mm/TaniguchiATH95
Akikazu Takeuchi,conf/slp/MiyachiKKFTY84|conf/fgcs/FurukawaTKYOU84
Akiko Kanaya,conf/icde/IshikawaKOYKK98
Akiko Kondo,conf/icde/IshikawaKOYKK96
Akiko N. Aizawa,journals/tkde/WahICA95|journals/ec/AizawaW94
Akinari Masuyama,conf/ifip/TanakaNM80
Akinori Yonezawa,conf/oopsla/MasuharaMWY92
Akio Kokubu,conf/ifip/UemuraYKOS80
Akio Nagasaka,conf/vdb/NagasakaT91
Akio Tanaka,conf/fgcs/SakaiIKATSM84
Akira Aiba,journals/ngc/UchidaHYCNA93|journals/jsc/SakaiA89|conf/fgcs/AibaH92
Akira Fukuda,conf/er/TagashiraSIF98
Akira Hattori,conf/icde/YokotaKH89|conf/isca/HayashiHA83
Akira Kawaguchi,conf/sigmod/ColbyKLMR97|conf/icdt/KawaguchiLMQR97|conf/dbpl/KawaguchiLMR97|conf/pdis/WolfsonZBKM93|conf/views/KawaguchiLMR96
Akira Kumamoto,conf/dasfaa/EguchiIKK99
Akira Matsumoto,journals/ngc/OnaiASMM85
Akira Sato,conf/dasfaa/KitakamiMAS97
Akira Shibamiya,journals/ibmsj/ChengLSW84
Akira Takano,conf/icse/SunoharaTUO81
Akira Uemori,conf/spieSR/SuzukiNUS94
Akira Urano,journals/acta/TsudaUS83
Akira Yamamoto,journals/ngc/YokotaYTNU83
Akis Fitas,journals/software/GibbsTFKY87
Akmal B. Chaudhri,journals/sigmod/Chaudhri98|journals/sigmod/Chaudhri95
Akshay Goel,conf/pods/GangulyGS96
Al Geist,journals/pc/SunderamGDM94
Al Kepner,conf/aaai/KahnKP87
Al Khorasani,journals/tois/WhangABHHHKKSSWZ87
Al Milewski,conf/aaai/KautzSM96
Al Nieder,journals/csur/PoochN73
Aladdin Hafez,journals/tkde/OzsoyogluH93|conf/vldb/HafezO88|journals/debu/Hafez88
Alain April,journals/ijmms/MissaouiA93
Alain Bazan,conf/ideas/McClatcheyKEGHBFB98|conf/dexaw/BakerBCEKFGLMMV98
Alain Callebaut,conf/slp/BruynoogheJCD87
Alain Colmerauer,journals/cacm/Colmerauer90|conf/adbt/ColmerauerP79
Alain Deutsch,conf/popl/Deutsch90
Alain Fournier,journals/tog/FournierM84
Alain Giboin,conf/ekaw/DiengGTC92
Alain J. Martin,journals/cacm/DijkstraLMSS78|conf/slp/LiM86
Alain Karsenty,conf/icdcs/KarsentyB93
Alain Michard,journals/cn/MichardCSSSV98
Alain Pirotte 0001,journals/tkde/PirotteRZ91|conf/icde/PirotteR89|conf/sigmod/ManolaP82|conf/vldb/LacroixP77|conf/vldb/LouisP82|conf/vldb/PirotteZMY94|conf/vldb/Pirotte79|journals/sigmod/Pirotte82|journals/is/LacroixP83|conf/sigmod/LacroixP80|conf/icod/ManolaP83|conf/adbt/Pirotte77
Alain Quéré,journals/iandc/PairQ68
Alain Sandoz,conf/wdag/SchiperES89
Alain T. Rappaport,journals/ijmms/Rappaport88|journals/ijmms/Rappaport87
Alain Würgler,conf/er/NorrieSWW96
Alan B. Sheltzer,conf/icdcs/SheltzerLP86
Alan Borning,journals/tkde/AmadorBBDFNNSSSSWW93|journals/tois/WeyerB85|journals/cacm/Freeman-BensonMB90|journals/toplas/Borning81|conf/popl/BorningI82
Alan Bundy,journals/ai/BundyW81|journals/ai/BundySP85|journals/jar/Bundy85|conf/cade/SterlingB82
Alan C. Schultz,journals/ml/GrefenstetteRS90
Alan Carle,conf/sde/AlpernCRSZ88
Alan D. Berenbaum,conf/asplos/BerenbaumCL82
Alan D. Fekete,conf/pods/FeketeLW90|conf/pods/FeketeLMW87|conf/mfdbs/LeeF91|conf/icdt/LynchMWF88|conf/icdt/FeketeLW92|conf/vldb/AspnesFLMW88|journals/computer/Fekete93|journals/jcss/FeketeLMW90|conf/pos/FeketeLMW89
Alan Dearle,conf/dbpl/AlbanoDGMMOS89|conf/dbpl/FarkasD93|conf/dbpl/DearleRV91|conf/dbpl/DearleCBM89|conf/edbt/ConnorDMB90|conf/vldb/CooperADA87|journals/csys/DearleBFHLRV94|journals/ipl/MorrisonABD90|journals/cacm/RosenbergDHLN96|journals/toplas/MorrisonDCB91|journals/cj/DearleB88|journals/spe/MorrisonBBDD86|conf/pos/MorrisonBCCDA89|conf/pos/DearleCK89|conf/pos/BushellDBV94|conf/pos/KochSDVMFB90|conf/pos/FarkasDKCMC92|conf/pos/VaughanD92|conf/pos/ConnorBCDMR90|conf/pos/ConnorBCDM89|conf/pos/KirbyCCMDF92|conf/icse/MorrisonDBBA85|conf/oodbs/MorrisonBCCD88
Alan Downing,conf/sigmod/DanielsDDEHJJLSSS94|conf/vldb/BelloDDFNSWZ98
Alan E. Kulawik,journals/micro/BodenCFKSSS95
Alan Emtage,journals/csys/SchwartzEKN92
Alan Eustace,conf/pldi/SrivastavaE94
Alan F. Dickey,conf/sigmod/WintersD76
Alan F. Smeaton,conf/sigir/SmeatonQ96|conf/sigir/SmeatonR81
Alan Farris,conf/ssdbm/Farris94
Alan G. Ganek,journals/ibmsj/ScalziGS89
Alan G. Konheim,journals/jacm/BlakeK77|journals/siamcomp/HofriK87|conf/icalp/ItaiKR81
